"Object Designation","Year Range","Potential Impacts","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)","?"
"(2021 FO1)","2075-2121","50","1.1e-4","7.22","29.5","0.004","-6.43","-6.65","0","bK21F01O"
"(2019 UL)","2082-2121","40","1.1e-4","4.25","28.7","0.006","-6.14","-6.36","0","bK19U00L"
"(2009 WR52)","2031-2121","128","1.0e-4","5.41","28.3","0.007","-5.69","-5.93","0","bK09W52R"
"(2019 KJ4)","2059-2121","241","1.0e-4","5.01","27.2","0.012","-5.39","-6.23","0","bK19K04J"
"(2021 JW2)","2046-2121","205","1.0e-4","4.89","27.6","0.010","-5.52","-6.35","0","bK21J02W"
"(2021 QY3)","2085-2119","79","1.0e-4","12.08","25.8","0.024","-4.61","-5.14","0","bK21Q03Y"
"(2010 XB)","2036-2036","1","1.0e-4","19.52","29.6","0.004","-5.46","-5.46","0","bK10X00B"
"(2021 XU5)","2040-2105","46","1.0e-4","19.10","29.4","0.005","-5.72","-6.06","0","bK21X05U"
"(2020 WD)","2055-2120","16","1.0e-4","5.69","28.2","0.008","-5.90","-6.14","0","bK20W00D"
"(2020 MJ)","2083-2107","35","1.0e-4","17.06","25.3","0.030","-4.18","-4.37","0","bK20M00J"
